notation,prefLabel,altLabel,definition,broader,related,source,closeMatch,relatedMatch,seeAlso,broadMatch,narrowMatch,narrower,uri
C364G1,Konservierungs- und Restaurierungsmaterialien@de|restoration material@en,conservation material@en,strukturierender Sammelbegriff für sämtliche zur Konservierung und/oder Restaurierung eines Objektes verwendeter (Verbrauchs-)Materialien,,,,http://www.wikidata.org/entity/Q214609| http://terminology.lido-schema.org/lido00132,,,https://www.w3id.org/archlink/terms/conservationthesaurus/CFGDA3,,https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF|https://www.w3id.org/archlink/terms/conservationthesaurus/F87124|https://www.w3id.org/archlink/terms/conservationthesaurus/ACFF37|https://www.w3id.org/archlink/terms/conservationthesaurus/B3FCA1|https://www.w3id.org/archlink/terms/conservationthesaurus/A2B746|https://www.w3id.org/archlink/terms/conservationthesaurus/FGF575|https://www.w3id.org/archlink/terms/conservationthesaurus/B7B8B6|https://www.w3id.org/archlink/terms/conservationthesaurus/FBFFF5|https://www.w3id.org/archlink/terms/conservationthesaurus/BGGCA4|https://www.w3id.org/archlink/terms/conservationthesaurus/BB78D2|https://www.w3id.org/archlink/terms/conservationthesaurus/CCCC7G|https://www.w3id.org/archlink/terms/conservationthesaurus/AFD671|https://www.w3id.org/archlink/terms/conservationthesaurus/ADD53A|https://www.w3id.org/archlink/terms/conservationthesaurus/D9G356,https://www.w3id.org/archlink/terms/conservationthesaurus/C364G1
C421BF,Lösungsmittel@de|solvent@en,Lösemittel@de|Reinigungsmittel@de,"Substanz, die in der Lage ist andere Stoffe (Feststoffe, Flüssigkeiten oder Gase) zu lösen, ohne dabei selbst eine chemische Reaktion mit diesem Stoff einzugehen. Das Lösungsmittel bildet eine homogene Mischung (Lösung) mit dem gelösten Stoff, in der die Moleküle des gelösten Stoffes in der Matrix des Lösemittels fein verteilt sind. Diese Stoffe werden in der Konservierung/Restaurierung als Reinigungsmittel für die Entfernung unerwünschter Substanzen von/aus einem Objekt verwendet und gleichzeitig auch als Lösungsmittel von Polymeren für die Herstellung lösemittelbasierter Klebstoffe bzw. Lacke.",https://www.w3id.org/archlink/terms/conservationthesaurus/C364G1,,"DIN EN ISO 472/A1:2019-03, Kunststoffe - Fachwörterverzeichnis - Änderung 1: Weitere Einträge (ISO 472:2013/Amd.1:2018); Dreisprachige Fassung EN ISO 472:2013/A1:2018, Deutsches Institut für Normung.| Velson Horie, Materials for Conservation. Organic consolidants, adhesives and coatings (London 2010)2, S.67.| Susan Buys, Victoria Oakley, The conservation and restoration of ceramics (Great Britain 1998), S. 184.",https://cameo.mfa.org/wiki/Solvent,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/G34563|https://www.w3id.org/archlink/terms/conservationthesaurus/DFD1B7|https://www.w3id.org/archlink/terms/conservationthesaurus/D72F3A|https://www.w3id.org/archlink/terms/conservationthesaurus/BBA28A|https://www.w3id.org/archlink/terms/conservationthesaurus/B77A8F|https://www.w3id.org/archlink/terms/conservationthesaurus/D627B2|https://www.w3id.org/archlink/terms/conservationthesaurus/GGD87G|https://www.w3id.org/archlink/terms/conservationthesaurus/AFC696|https://www.w3id.org/archlink/terms/conservationthesaurus/G46243|https://www.w3id.org/archlink/terms/conservationthesaurus/D347D6|https://www.w3id.org/archlink/terms/conservationthesaurus/BDG3D5,https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF
G34563,Siedegrenzbenzin@de|white spirit@en,Reinigungsbenzin@de|Waschbenzin@de|Terpentinersatz@de|Leichtbenzin@de,"leichtflüchtige, klare Flüssigkeit mit charakteristisch benzinartigem Geruch. Je nach Produkt können unterschiedliche Zusammensetzungen aus aliphatischen und aromatischen Kohlenwasserstoffen enthalten sein, die zu spezifischen physikalischen und chemischen Eigenschaften führen. In der Restaurierung wird Siedegrenzbenzin aufgrund seiner Eigenschaften als unpolares Lösungsmittel zur Reinigung/Entfernung von apolaren Stoffen, zur Entfettung von Oberflächen, sowie zur Herstellung von Lösungen verwendet.",https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A32B47|https://www.w3id.org/archlink/terms/conservationthesaurus/A7B4F9,https://www.w3id.org/archlink/terms/conservationthesaurus/G34563
A32B47,Shellsol A@de,,"farblos, klare Flüssigkeit die als hocharomatisches, unpolares Lösungsmittel fungiert und mit den meisten organischen Flüssigkeiten mischbar ist. In der Konservierung und Restaurierung wird es hauptsächlich als Lösungsmittel für viele Öle, Fette, Wachse und Natur- bzw. Kunstharze eingesetzt.",https://www.w3id.org/archlink/terms/conservationthesaurus/G34563,,"Gerhard Banik, Gabriela Krist, Lösungsmittel in der Restaurierung. Restaurierung - Konservierung - Technologie 1, Wien 2003, S. 71.",,,https://deffner-johann.de/media/datasheets/2316000/DE/2316000_Sicherheitsdatenblatt_ShellSol%20A_1000%20ml_DE_DJ.pdf,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A32B47
A7B4F9,Shellsol T@de,,"farbloses, klares unpolares Lösungsmittelgemisch aus Iso-Aliphaten. Es ist nahezu aromatenfrei und geruchsarm. In der Restaurierung findet es Verwendung als Ersatz für Balsamterpentinöl, als Lösemittel für Öle, Wachse, ölbasierte Lacke und Farben",https://www.w3id.org/archlink/terms/conservationthesaurus/G34563,,https://www.kremer-pigmente.com/de/shop/loesemittel-chemikalien-hilfsmittel/70460-shellsol-t.html,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A7B4F9
DFD1B7,Wasser@de,,"natürlich vorkommende, klare Flüssigkeit mit dem chemischen Symbol H2O. In der Konservierung und Restaurierung wird Wasser in verschiedenen Reinheitsgraden als universelles Lösungs- bzw. Reinigungsmittel verwendet, das aufgrund seiner Polarität und chemischen Neutralität für die schonende Entfernung von Schmutz, Ablagerungen und löslichen Salzen geeignet ist. Es kann dabei in reiner Form oder als Bestandteiler einer wässrigen Lösung mit anderen chemischen Substanzen angewandt werden, um die spezifischen Bedürfnisse verschiedener Materialien zu erfüllen. Bei unsachgemäßer Anwendung kann Wasser jedoch auch zu Schädigungen von wasserempfindlichen Materialien oder zur Förderung von Korrosion führen.",https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF,,"Sandra Davison, Conservation and Restoration of Glass (Oxford 2003)2, S. 199/200.| Susan Buys, Victoria Oakley, The conservation and restoration of ceramics (Great Britain 1998), S. 88/89., 178/179",https://cameo.mfa.org/wiki/Water,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/B6C1A7|https://www.w3id.org/archlink/terms/conservationthesaurus/BBF7BG,https://www.w3id.org/archlink/terms/conservationthesaurus/DFD1B7
B6C1A7,Destilliertes Wasser@de|distilled water@en,,"Wasser, bei dem durch Erhitzen und Rekondensieren des Dampfes nahezu alle gelösten Mineralien, Salze und Verunreinigungen entfernt wurden.",https://www.w3id.org/archlink/terms/conservationthesaurus/DFD1B7,,"Susan Buys, Victoria Oakley, The conservation and restoration of ceramics (Great Britain 1998), S. 179.",https://cameo.mfa.org/wiki/Distilled_water,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/B6C1A7
BBF7BG,Demineralisiertes Wasser@de,Deionisiertes Wasser@de|vollentsalztes Wasser@de,"Wasser, aus dem die meisten gelösten Mineralien entfernt wurden. Dies kann durch verschiedene Methoden erreicht werden. Je nach Grad der Reinheit wird demineralisiertes Wasser auch deionisiertes oder vollentsalztes Wasser genannt. Demineralisiertes Wasser unterscheidet sich von destilliertem Wasser durch möglicherweise im Wasser verbliebene apolare oder organische Stoffe.",https://www.w3id.org/archlink/terms/conservationthesaurus/DFD1B7,,"Susan Buys, Victoria Oakley, The conservation and restoration of ceramics (Great Britain 1998), S. 179.",https://cameo.mfa.org/wiki/Deionized_water,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/BBF7BG
D72F3A,Aceton@de|acetone@en,,"klare, charakteristisch aromatisch-süßlich riechende Flüssigkeit, die als weitverbreitestes organisches Lösungsmittel für eine Vielzahl an Polymeren, Fetten, Wachsen und Ölen verwendet wird. Aceton ist stark flüchtig und eignet sich aufgrund seiner schnellen Verdunstung und starken Lösungskraft sehr gut für gezielte Reinigungsarbeiten, ohne das zu behandelne Material zu stark zu durchfeuchten. Darüber hinaus wird es häufig für die Herstellung von Polymerlösungen für Klebungen, Tränkungen oder Schutzüberzüge verwendet. Aceton ist akut gesundheitsgefährdend und sollte stets mit den nötigen Sicherheitsvorkehrungen verwendet werden.",https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF,,"Hermann Kühn, Conservation and Restoration of Works of Art and Antiquities. Volume 1 (London 1986), S. 196.| Susan Buys, Victoria Oakley, The conservation and restoration of ceramics (Great Britain 1998), S. 185.| https://gestis.dguv.de/data?name=011230",https://cameo.mfa.org/wiki/Acetone,,https://gestis.dguv.de/data?name=011230,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D72F3A
BBA28A,Ethanol@de|ethyl alcohol@en,Spiritus@de|Ethylalkohol@de|Äthanol@de|Alkohol@de,"farblose, leicht entzündliche Flüssigkeit die in der Konservierung und Restaurierung als universelles Lösungsmittel für die Entfernung von Fetten, Proteinen und Polymeren  sowie zur Herstellung von lösemittelbasierten Polymerlösungen verwendet wird. Ethanol zeigt eine relativ schnelle Verdunstung (jedoch langsamer als Aceton), eine gutes Peetrationsvermögen und die Fähigkeit als amphiphiles Lösungsmittel sowohl polare als auch unpolare Substanzen zu lösen. Aufgrund der aktuen Gesundheitsgefahren sind bei der Verwendung die gängigen Sicherheitsvorkehrungen einzuhalten.",https://www.w3id.org/archlink/terms/conservationthesaurus/C421BF,,,https://cameo.mfa.org/wiki/Ethyl_alcohol,,https://gestis.dguv.de/data?name=010420,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/BBA28A
