notation,uri,prefLabel,altLabel,definition,broader,narrower,related,closeMatch,relatedMatch,broadMatch,seeAlso,source,inScheme
C93638,https://www.w3id.org/archlink/terms/conservationthesaurus/C93638,Konservierungs- und Restaurierungswerkzeuge@de,Konservierungs- und Restaurierungsequipment@de,"Oberbegriff für Gegenstände, die genutzt werden um Konservierungs- und/oder Restaurierungsmaßnahmen durchzuführen. Die verschiedenen Werkzeuge ermöglichen ein präzises Arbeiten und erhöhen die Effizienz bei den unterschiedlichen Methoden und Aufgaben.",,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49|https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,http://www.wikidata.org/entity/Q39546,,https://www.w3id.org/archlink/terms/conservationthesaurus/CFGDA3,,,https://www.w3id.org/archlink/branches/C93638
GF9C49,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,technische Geräte@de,,"Oberbegriff für komplexe, technische Hilfsmittel mit elektrischen oder elektronischen Komponenten, die durch Strom betrieben werden.",https://www.w3id.org/archlink/terms/conservationthesaurus/C93638,https://www.w3id.org/archlink/terms/conservationthesaurus/G487C2|https://www.w3id.org/archlink/terms/conservationthesaurus/D8G747|https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6|https://www.w3id.org/archlink/terms/conservationthesaurus/C5A318|https://www.w3id.org/archlink/terms/conservationthesaurus/C871CB|https://www.w3id.org/archlink/terms/conservationthesaurus/BBB987|https://www.w3id.org/archlink/terms/conservationthesaurus/GF3586|https://www.w3id.org/archlink/terms/conservationthesaurus/C2112G|https://www.w3id.org/archlink/terms/conservationthesaurus/DAC482|https://www.w3id.org/archlink/terms/conservationthesaurus/D7GGGG|https://www.w3id.org/archlink/terms/conservationthesaurus/F8323G|https://www.w3id.org/archlink/terms/conservationthesaurus/C99F9G|https://www.w3id.org/archlink/terms/conservationthesaurus/A4G4G1|https://www.w3id.org/archlink/terms/conservationthesaurus/C9G1B6|https://www.w3id.org/archlink/terms/conservationthesaurus/FG9C55|https://www.w3id.org/archlink/terms/conservationthesaurus/FA9542,,,,,"Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S.65.",,https://www.w3id.org/archlink/branches/C93638
G487C2,https://www.w3id.org/archlink/terms/conservationthesaurus/G487C2,Feinstrahlgerät@de,Mikrostrahlgerät@de|Sandstrahlgerät@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D8G747,https://www.w3id.org/archlink/terms/conservationthesaurus/D8G747,Mikromotor@de,,"präzises Elektrowerkzeug mit austauschbaren Aufsätzen, das in der Konservierung und Restaurierung verwendet wird, um feine Arbeiten wie Schleifen, Bohren oder Polieren durchzuführen. Es ermöglicht exakte Materialbearbeitung unter Kontrolle und ohne großen Kraftaufwand.",https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,,,,,,https://www.w3id.org/archlink/branches/C93638
C4C6B6,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,Schleifkörper@de,,"Werkzeug aus abrasivem Material, in unterschiedlicher Form wie Scheiben, Stäben oder Blöcken, das in der Konservierung und Restaurierung zur schonenden Bearbeitung von Oberflächen eingesetzt wird. Es dient zum Glätten, Formen oder Entfernen von Schichten und wird auf die spezifischen Anforderungen des zu bearbeitenden Materials abgestimmt.",https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,https://www.w3id.org/archlink/terms/conservationthesaurus/ABF57G|https://www.w3id.org/archlink/terms/conservationthesaurus/A97F31|https://www.w3id.org/archlink/terms/conservationthesaurus/CDF423|https://www.w3id.org/archlink/terms/conservationthesaurus/A22C84,https://www.w3id.org/archlink/terms/conservationthesaurus/D8G747,,,,,,https://www.w3id.org/archlink/branches/C93638
ABF57G,https://www.w3id.org/archlink/terms/conservationthesaurus/ABF57G,Diamantschleifkörper@de|diamand grinding wheel@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A97F31,https://www.w3id.org/archlink/terms/conservationthesaurus/A97F31,Gummischleifkörper@de|rubber abrasives@en,Gummipolierer@de|rubber polisher@en,,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,,,,,,,,https://www.w3id.org/archlink/branches/C93638
CDF423,https://www.w3id.org/archlink/terms/conservationthesaurus/CDF423,Metallfräser@de|metal cutter@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A22C84,https://www.w3id.org/archlink/terms/conservationthesaurus/A22C84,Korundschleifkörper@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/C4C6B6,,,,,,,,https://www.w3id.org/archlink/branches/C93638
C5A318,https://www.w3id.org/archlink/terms/conservationthesaurus/C5A318,Ultraschallgerät@de,,"technisches Gerät, das zur Reinigung von Objekten mittels hochfrequenter Ultraschallwellen eingesetzt wird. Diese Wellen erzeugen in einer Flüssigkeit, meist Wasser oder einer speziellen Reinigungslösung, Kavitationsblasen, die beim Zusammenfallen Verunreinigungen von der Oberfläche der zu reinigenden Gegenstände lösen. Diese Methode ist besonders schonend und effizient und wird in der Konservierung und Restaurierung für empfindliche oder komplex geformte Objekte verwendet.",https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 385/386.",https://www.w3id.org/archlink/branches/C93638
C871CB,https://www.w3id.org/archlink/terms/conservationthesaurus/C871CB,Ultraschallfeinmeißel@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
BBB987,https://www.w3id.org/archlink/terms/conservationthesaurus/BBB987,Absauganlage@de,,"technisches Gerät zur Entfernung von gesundheitsgefährdenden Stäuben und/oder Dämpfen, i.d.R. bestehend aus Motor, Pumpe, Filter-Einheit und Saugrüssel.",https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,"Reiner Geschke, Keramikrestaurierung (Berlin 2019),S. 58.",https://www.w3id.org/archlink/branches/C93638
GF3586,https://www.w3id.org/archlink/terms/conservationthesaurus/GF3586,Druckluft@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
C2112G,https://www.w3id.org/archlink/terms/conservationthesaurus/C2112G,Gefriertrocknungsanlage@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
DAC482,https://www.w3id.org/archlink/terms/conservationthesaurus/DAC482,Lötvorrichtung@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D7GGGG,https://www.w3id.org/archlink/terms/conservationthesaurus/D7GGGG,Wärmeschrank@de,Wärmekammer@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
F8323G,https://www.w3id.org/archlink/terms/conservationthesaurus/F8323G,industrielle Mikrowellenkammer@de,Mikrowelle@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
C99F9G,https://www.w3id.org/archlink/terms/conservationthesaurus/C99F9G,Plasmaanlage@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A4G4G1,https://www.w3id.org/archlink/terms/conservationthesaurus/A4G4G1,Heißluftföhn@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
C9G1B6,https://www.w3id.org/archlink/terms/conservationthesaurus/C9G1B6,Airbrush-System@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
FG9C55,https://www.w3id.org/archlink/terms/conservationthesaurus/FG9C55,Exsikkator@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
FA9542,https://www.w3id.org/archlink/terms/conservationthesaurus/FA9542,Schmelzofen@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GF9C49,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D941BB,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,manuelle Werkzeuge@de,,"Oberbegriff für nicht-elektronische Geräte, die durch rein menschliche Kraft funktionieren.",https://www.w3id.org/archlink/terms/conservationthesaurus/C93638,https://www.w3id.org/archlink/terms/conservationthesaurus/CC2BBB|https://www.w3id.org/archlink/terms/conservationthesaurus/C4569A|https://www.w3id.org/archlink/terms/conservationthesaurus/CG825A|https://www.w3id.org/archlink/terms/conservationthesaurus/D84847|https://www.w3id.org/archlink/terms/conservationthesaurus/D11BD4|https://www.w3id.org/archlink/terms/conservationthesaurus/D1A63D|https://www.w3id.org/archlink/terms/conservationthesaurus/F91CBB|https://www.w3id.org/archlink/terms/conservationthesaurus/A7B5AA|https://www.w3id.org/archlink/terms/conservationthesaurus/B28GC7|https://www.w3id.org/archlink/terms/conservationthesaurus/AA4F93|https://www.w3id.org/archlink/terms/conservationthesaurus/A341F9|https://www.w3id.org/archlink/terms/conservationthesaurus/F71C33|https://www.w3id.org/archlink/terms/conservationthesaurus/D1C67A|https://www.w3id.org/archlink/terms/conservationthesaurus/ACB46G|https://www.w3id.org/archlink/terms/conservationthesaurus/F19194|https://www.w3id.org/archlink/terms/conservationthesaurus/F18C56|https://www.w3id.org/archlink/terms/conservationthesaurus/G33846|https://www.w3id.org/archlink/terms/conservationthesaurus/A48485,,,,,"Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S.64.",,https://www.w3id.org/archlink/branches/C93638
CC2BBB,https://www.w3id.org/archlink/terms/conservationthesaurus/CC2BBB,Pinsel@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
C4569A,https://www.w3id.org/archlink/terms/conservationthesaurus/C4569A,Bürste@de|brush@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
CG825A,https://www.w3id.org/archlink/terms/conservationthesaurus/CG825A,Wattestäbchen@de|cotton swab@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D84847,https://www.w3id.org/archlink/terms/conservationthesaurus/D84847,Wattepads@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D11BD4,https://www.w3id.org/archlink/terms/conservationthesaurus/D11BD4,Gaze@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D1A63D,https://www.w3id.org/archlink/terms/conservationthesaurus/D1A63D,Putzholz@de|cleaning wood stick@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
F91CBB,https://www.w3id.org/archlink/terms/conservationthesaurus/F91CBB,Radiergummi@de|eraser@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A7B5AA,https://www.w3id.org/archlink/terms/conservationthesaurus/A7B5AA,Groom/Stick®@de,,"Produktname eines ph-neutralen, knetbaren Naturgummies der Firma Picreator Enterprises Ltd. zur Oberflächenreinigung. Laut Herstellerangaben abriebfest, rückstandsfrei und vollständig wiederverwendbar.",https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,"Reiner Geschke, Keramikrestaurierung (Berlin 2019), S. 58.| https://www.kremer-pigmente.com/elements/resources/products/files/78061.pdf",https://www.w3id.org/archlink/branches/C93638
B28GC7,https://www.w3id.org/archlink/terms/conservationthesaurus/B28GC7,Zellstoff@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
AA4F93,https://www.w3id.org/archlink/terms/conservationthesaurus/AA4F93,Textil@de|textile@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A341F9,https://www.w3id.org/archlink/terms/conservationthesaurus/A341F9,Schwamm@de|sponge@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
F71C33,https://www.w3id.org/archlink/terms/conservationthesaurus/F71C33,Skalpell@de|scalpel@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
D1C67A,https://www.w3id.org/archlink/terms/conservationthesaurus/D1C67A,Metallschaber@de|metal scraper@en,Dreikantschaber@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
ACB46G,https://www.w3id.org/archlink/terms/conservationthesaurus/ACB46G,Stachelschweinborste@de|porcupine bristle@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
F19194,https://www.w3id.org/archlink/terms/conservationthesaurus/F19194,Nadel@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
F18C56,https://www.w3id.org/archlink/terms/conservationthesaurus/F18C56,Holzschaber@de|wood scraper@en,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
G33846,https://www.w3id.org/archlink/terms/conservationthesaurus/G33846,Acrylglasschaber@de|acrylic scraper@en,Plexiglasschaber@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,,,,,,,,https://www.w3id.org/archlink/branches/C93638
A48485,https://www.w3id.org/archlink/terms/conservationthesaurus/A48485,Draht@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D941BB,https://www.w3id.org/archlink/terms/conservationthesaurus/BA264C|https://www.w3id.org/archlink/terms/conservationthesaurus/F85978,,,,,,,https://www.w3id.org/archlink/branches/C93638
