notation,uri,prefLabel,altLabel,definition,broader,narrower,related,closeMatch,relatedMatch,broadMatch,seeAlso,source,inScheme
D6BCC2,https://www.w3id.org/archlink/terms/conservationthesaurus/D6BCC2,Technologischer Befund@de,,"Identifizierung der Techniken, Verfahren und Konstruktionsprinzipien, die zur Herstellung des Objektes eingesetzt wurden.",,https://www.w3id.org/archlink/terms/conservationthesaurus/F8F594|https://www.w3id.org/archlink/terms/conservationthesaurus/F2244D|https://www.w3id.org/archlink/terms/conservationthesaurus/C3648A,,,https://www.w3id.org/archlink/terms/conservationthesaurus/G76B7G,https://www.w3id.org/archlink/terms/conservationthesaurus/BC5B57,,,https://www.w3id.org/archlink/branches/D6BCC2
F8F594,https://www.w3id.org/archlink/terms/conservationthesaurus/F8F594,Herstellungstechnik@de,Produktionstechnik@de,basierend auf den festgestellten Spuren angenommene Art und Weise wie das Objekt hergestellt worden ist,https://www.w3id.org/archlink/terms/conservationthesaurus/D6BCC2,https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83|https://www.w3id.org/archlink/terms/conservationthesaurus/AGG387,,,,,,,https://www.w3id.org/archlink/branches/D6BCC2
A15F83,https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83,Fügetechnik@de,Verbindungstechnik@de,"Oberbegriff für Techniken, die zwei oder mehr Teile mit einander verbindet.",https://www.w3id.org/archlink/terms/conservationthesaurus/F8F594,https://www.w3id.org/archlink/terms/conservationthesaurus/G6GG4C|https://www.w3id.org/archlink/terms/conservationthesaurus/BABA94|https://www.w3id.org/archlink/terms/conservationthesaurus/DA7G45|https://www.w3id.org/archlink/terms/conservationthesaurus/AC92GG|https://www.w3id.org/archlink/terms/conservationthesaurus/FB76BC|https://www.w3id.org/archlink/terms/conservationthesaurus/F988F4|https://www.w3id.org/archlink/terms/conservationthesaurus/G887B8|https://www.w3id.org/archlink/terms/conservationthesaurus/C5FAFF|https://www.w3id.org/archlink/terms/conservationthesaurus/B5D998|https://www.w3id.org/archlink/terms/conservationthesaurus/A6CD9G|https://www.w3id.org/archlink/terms/conservationthesaurus/AFFB47|https://www.w3id.org/archlink/terms/conservationthesaurus/FC7874|https://www.w3id.org/archlink/terms/conservationthesaurus/B61CC6|https://www.w3id.org/archlink/terms/conservationthesaurus/G4B128|https://www.w3id.org/archlink/terms/conservationthesaurus/F93B74|https://www.w3id.org/archlink/terms/conservationthesaurus/A2B2CD|https://www.w3id.org/archlink/terms/conservationthesaurus/BD18A1|https://www.w3id.org/archlink/terms/conservationthesaurus/ABAD42|https://www.w3id.org/archlink/terms/conservationthesaurus/D6DFDB|https://www.w3id.org/archlink/terms/conservationthesaurus/D9G8B5|https://www.w3id.org/archlink/terms/conservationthesaurus/G859A7|https://www.w3id.org/archlink/terms/conservationthesaurus/D9165B|https://www.w3id.org/archlink/terms/conservationthesaurus/CAF8AF|https://www.w3id.org/archlink/terms/conservationthesaurus/B2CC48|https://www.w3id.org/archlink/terms/conservationthesaurus/D1CA6B|https://www.w3id.org/archlink/terms/conservationthesaurus/D96833|https://www.w3id.org/archlink/terms/conservationthesaurus/B24ADG|https://www.w3id.org/archlink/terms/conservationthesaurus/C26D24,,,,,,,https://www.w3id.org/archlink/branches/D6BCC2
G6GG4C,https://www.w3id.org/archlink/terms/conservationthesaurus/G6GG4C,gelötet@de,Lötung@de,"Fügetechnik, bei der metallische Werkstücke durch geschmolzene metallische Bindemittel (Lote) stoffschlüssig verbunden werden. Dabei wird die zu lötende Stelle erhitzt, bis das Lot schmilzt und die Fuge der Verbindungsstelle ausfüllt. Die zu verbindenden Metalle bleiben während der Lötung im festen Zustand und werden durch die Diffusion des geschmolzenen Lotes verbunden.",https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83,https://www.w3id.org/archlink/terms/conservationthesaurus/G3GB79|https://www.w3id.org/archlink/terms/conservationthesaurus/B7A13A,,,,,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",https://www.w3id.org/archlink/branches/D6BCC2
G3GB79,https://www.w3id.org/archlink/terms/conservationthesaurus/G3GB79,hartgelötet@de,Hartlötung@de,"Lötung mit hochschmelzenden Loten (Hartloten), bei einer Arbeitstemperatur über 650°C.",https://www.w3id.org/archlink/terms/conservationthesaurus/G6GG4C,,,,,,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",https://www.w3id.org/archlink/branches/D6BCC2
B7A13A,https://www.w3id.org/archlink/terms/conservationthesaurus/B7A13A,weichgelötet@de,Weichlötung@de,"Lötung mit niedrigschmelzenden Loten (Weichloten), bei einer Arbeitstemperatur unterhalb 450°C.",https://www.w3id.org/archlink/terms/conservationthesaurus/G6GG4C,,,,,,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.319.",https://www.w3id.org/archlink/branches/D6BCC2
BABA94,https://www.w3id.org/archlink/terms/conservationthesaurus/BABA94,geschweißt@de,Schweißung@de|Verschweißung@de|verschweißt@de,"stoffschlüssige Fügetechnik, bei der Materialien mit annähernd gleichem Schmelzintervall durch Wärme und/oder Druck in einen flüssigen oder plastischen Zustand versetzt werden, um sie miteinander zu vereinigen. Dabei kann mit oder ohne Zusatzwerkstoffen oder Flussmitteln gearbeitet werden.",https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83,,,,,,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 351| Technisch-wissenschaftliche Grundlagen des Goldschmiedens Teil 1. Grundtechniken der Herstellung von Schmuck und Gerät (Wiesbaden 2016), S. 148.",https://www.w3id.org/archlink/branches/D6BCC2
DA7G45,https://www.w3id.org/archlink/terms/conservationthesaurus/DA7G45,angegossen@de,Anguss@de,,https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83,https://www.w3id.org/archlink/terms/conservationthesaurus/C388AA,,,,,,,https://www.w3id.org/archlink/branches/D6BCC2
C388AA,https://www.w3id.org/archlink/terms/conservationthesaurus/C388AA,Überfangguss@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/DA7G45,,,,,,,,https://www.w3id.org/archlink/branches/D6BCC2
AC92GG,https://www.w3id.org/archlink/terms/conservationthesaurus/AC92GG,Millefiori@de,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A15F83,,,,,,,,https://www.w3id.org/archlink/branches/D6BCC2
