notation,uri,prefLabel,altLabel,definition,broader,narrower,related,closeMatch,relatedMatch,broadMatch,seeAlso,source,inScheme
DAC996,https://www.w3id.org/archlink/terms/conservationthesaurus/DAC996,Schadensphänomen@de|Damage type@en,Schadensbild@de|Beschädigungsart@de,Art der beobachteten negativen Veränderungen des Objekts im Vergleich zu seinem als ursprünglich angenommenen Zustandes.,,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD|https://www.w3id.org/archlink/terms/conservationthesaurus/D3AGG6|https://www.w3id.org/archlink/terms/conservationthesaurus/B86G16|https://www.w3id.org/archlink/terms/conservationthesaurus/C188DA|https://www.w3id.org/archlink/terms/conservationthesaurus/CB9GD3|https://www.w3id.org/archlink/terms/conservationthesaurus/C9D991,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/BC5B57,,,https://www.w3id.org/archlink/branches/DAC996
B224CD,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,Formänderung@de,,"Das Objekt zeigte eine mehr oder weniger stark ausgeprägte Veränderung seiner ursprünglichen oder als ursprünglich angesehenen Form, ohne Verlust des strukturellen Zusammenhalts.",https://www.w3id.org/archlink/terms/conservationthesaurus/DAC996,https://www.w3id.org/archlink/terms/conservationthesaurus/G7D438|https://www.w3id.org/archlink/terms/conservationthesaurus/A21DB2|https://www.w3id.org/archlink/terms/conservationthesaurus/C7859F|https://www.w3id.org/archlink/terms/conservationthesaurus/G23692|https://www.w3id.org/archlink/terms/conservationthesaurus/A8D9GF,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
G7D438,https://www.w3id.org/archlink/terms/conservationthesaurus/G7D438,blasig@de,Blasenbildung@de,"Das Objekt weist eine gewölbte Oberfläche bzw. mehrere oberflächliche Wölbungen mit Hohlraum darunter auf. Der Hohlraum kann Gas, Flüssigkeit und/oder feste Stoffe enthalten.",https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
A21DB2,https://www.w3id.org/archlink/terms/conservationthesaurus/A21DB2,aufgeraut (Schadensphänomen)@de,Aufrauhung@de,Das Objekt weist eine zunehmend ungleichmäßiger werdende Oberfläche auf.,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
C7859F,https://www.w3id.org/archlink/terms/conservationthesaurus/C7859F,ausgedehnt@de,Quellung@de,Das Objekt zeigt eine Vergrößerung seiner Abmessungen im Vergleich zu seinen ursprünglichen Maßen. Diese kann durch Veränderungen des Objektmaterial selbst oder durch Hinzufügen von Fremdmaterial erfolgt sein.,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
G23692,https://www.w3id.org/archlink/terms/conservationthesaurus/G23692,geschrumpft@de,Schwindung@de,Das Objekt zeigt eine Verkleinerung seiner Abmessungen im Vergleich zu seinen ursprünglichen Maßen.,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
A8D9GF,https://www.w3id.org/archlink/terms/conservationthesaurus/A8D9GF,deformiert@de,Verformung@de,Das Objekt zeigt eine oder mehrere bruchlose Veränderung(en) seiner ursprünglichen Form oder Abmessung.,https://www.w3id.org/archlink/terms/conservationthesaurus/B224CD,https://www.w3id.org/archlink/terms/conservationthesaurus/GAC37B|https://www.w3id.org/archlink/terms/conservationthesaurus/B89818|https://www.w3id.org/archlink/terms/conservationthesaurus/FC4DGB|https://www.w3id.org/archlink/terms/conservationthesaurus/CF4199|https://www.w3id.org/archlink/terms/conservationthesaurus/C535G6|https://www.w3id.org/archlink/terms/conservationthesaurus/ABB9FA,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
GAC37B,https://www.w3id.org/archlink/terms/conservationthesaurus/GAC37B,eingedrückt (Schadensphänomen)@de,eingedellt@de,Die Deformation des Objektes weist eine nach innen gerichtete Form auf.,https://www.w3id.org/archlink/terms/conservationthesaurus/A8D9GF,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
B89818,https://www.w3id.org/archlink/terms/conservationthesaurus/B89818,gewellt@de,bucklig@de|wellig@de,Das Objekt zeigt eine wellenförmige/bucklige Formänderung auf.,https://www.w3id.org/archlink/terms/conservationthesaurus/A8D9GF,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
FC4DGB,https://www.w3id.org/archlink/terms/conservationthesaurus/FC4DGB,verworfen@de,,"Das Objekt weist eine in sich (gegeneinander) verschobene, unebene Fläche bzw. Form auf. Verwerfungen gehen häufig mit Brüchen einher.",https://www.w3id.org/archlink/terms/conservationthesaurus/A8D9GF,,,,,,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",https://www.w3id.org/archlink/branches/DAC996
